,Text,label
0,Wow.. He started investing when he was 13 years old and he also owns two homes. What in the world are we doing with our lives? Lol,0
1,This is a PRIME example of strong family values and structure in setting up your children for success.  There's a strong push for education from his family.,0
2,Smart kid. His perseverance and proactive approach to life will get him far. All the best to you Ethan!,0
3,"This is the type of guy you don't tell your Asian parents about if they like to compare others to you.
All jokes aside, wow, this guy is a great example of what hard work and delayed gratification can achieve.",0
4,It is always good to have a financial plan. I work with a professional planner and a fixed-income strategist in NY. the fixed-income portion of your portfolio won't simply serve as a buffer to the volatility of the equity portion of your portfolio but will provide legitimate income.,1
5,"College in 2 years in CS at Berkeley and a 1 year Master is the most underrated thing here, this is not easy, Iâ€™m a physician now and I donâ€™t know if I could do that.",0
6,man......this guy is an absolute genius at 22 years old.....i was knucklehead alcoholic...wish i could go back in some way. He's a perfect example of raised by good parents and strong family background. Kudos man.,0
7,"Good family support, educated, invested early, homeowner, good job. Well done, young man!",0
8,He's an bright individual. Down to earth. Makes mistakes and learns from them. Love it.,0
9,"Such a smart, accomplished young man!! Wishing him all the success in the future!",0
10,"I wasn't financial free until my 40â€™s and Iâ€™m still in my 40â€™s, bought my third house already, earn on a monthly through passive income, and got 4 out of 5 goals, just hope it encourages someone that it doesnâ€™t matter if you donâ€™t have any of them right now, you can start TODAY regardless your age INVEST and change your future! Investing in the financial market is a grand choice I made.",1
11,"At the beginning of the year, I gradually increased my stock purchases, but nothing significant. Why am I being so harsh with this? Despite the fact that others in my sector make six figures per person, I still want to be the first member in my polygamous family to earn a million dollars. I am well aware of the expenses incurred by putting in longer hours to earn more money.",1
12,"From another young tech professional to another, this is the way!
Kudos to you, man! Love to see when merit pays off. Keep the grind up :)",0
13,"To my understanding this just proves how much we need an edged as an investors because playing the market like everyone else just isnâ€™t good enough. Iâ€™ve been quite ensured about investing in this current market and at the same time I feel itâ€™s the best time to get started on the market,what are your thoughts?!",1
14,"I wish he credited his family for the knowledge of knowing about financial literacy at a young age - that is a HUGE advantage. I also advise if possible to not trade yours college years. Getting a rental property in another state and only making $200 with no mention of property taxes. While planning is good, life can have unexpected twists. Itâ€™s important to have a balance and also be present.",0
15,He has gotten a lot right at a young age.  Well done.,0
16,This guy seems to have his mind set on his goals and very organized. Keep up the good work towards the FIRE goal!,0
17,This young man is amazing. So determined and hardworking. Plan everything so well and stick with it.,0
18,One of my favorites! This is what happens when you understand that money is to be used as a tool and not served  as a master. TfsğŸ˜Š,0
19,"Losing out on college years is priceless. You can always be sound financially later on. But Berkeley isn't the most fun university so I don't blame him. Good job Ethan, you're very mature for your age.",0
20,For real ğŸ˜­,0
21,"Pay attention to what he says at 6:10, he saved up alot more by living with parents and living frugally. He was able to save 95% of his income. 
Try renting alone and you'll realize it's almost impossible to save up enough as you will spend over 50% on just rent especially in silicon valley or anywhere in oj county, the more expensive place in SoCal.",0
22,The power of education and hard work!,0
23,â€‹Â @chrisalarcon17Â he was born smart,0
24,"Something doesnâ€™t add up. His income is close to $200K and he saves $60K over two years? And he says he was saving 95% of his income? His current housing cost (main and rental) is about two thirds of his take home pay. Although his rental breaks even on the mortgage (+$200), he is not adding the cost of insurance / maintenance for the property, and if the tenant becomes delinquent, he can easily lose money. His mortgage for his main residence is also very high.
Hopefully that will go down once interest rate drops. Itâ€™s a tall order to say he â€œownsâ€ two properties when they are mostly owned by the bank. And already he wants to acquire a property every two years. My gut feeling is that he may be too aggressive with his investment strategy (crypto, using leverage etc.), and he is not making as much gains as expected with a conservative investment strategy. I am curious to see what his actual net worth is. But so far numbers donâ€™t look that great. And he wants to hit 5 million net worth in 10 years to achieve FIRE. And the mention of credit card debt is alarming if he calls himself frugal (maybe he put the AC on the credit card).",0
25,â€‹Â @MachaLatte123Â I agree 60k is not enough.,0
26,"This is assuming parents let you save your money. Knowing many east asian, Indian, pakistani, etc parents. Many expect their kid fresh out of university to start paying all the household bills. Good luck saving 5% let alone 95%. The key is selfless prideful parents who won't take a penny from their kids.",0
27,"â€‹Â @Misaka-gt5yjÂ  Key word is ""frugally"". Too many people are spending more money than what they actually make on fast food and top name brand clothing.",0
28,Â @MachaLatte123Â He said he lived with his parents initially in order to save 95% of his income and therefore allow him to make the real estate purchases.,0
29,â€‹Â @MachaLatte123Â  A little over-leveraged for having 2 properties. Google income is good but that is a job and layoff can happen anytime. It just take bad tenant or a property crash for a wipe out.,0
30,Yes itâ€™s all debt,0
31,He had parents that didnâ€™t force the â€œjust work & go homeâ€ mentality. They imposed more than just basic living,0
32,This is not uncommon in Asian community. Parents set up the rich and bright future for their kids by investing in their kids at very young age,0
33,Always someone younger and better than you ! I started investing at 27 after paying off 250k student debt . Now I own some single families in CA and small apartments in OK for 50 units .,0
34,Â @MachaLatte123Â his parents helped him,0
35,Â @MachaLatte123Â  eeww matcha latte ğŸ¤¢,0
36,â€‹Â @Misaka-gt5yjÂ My 17 year old son does the same... He's extremely prudent in nature but he also knows that he can live with us as long as he likes rent free and he has more savings and investments than most adults 20 years older than him!... He also decided to go down the apprentice route rather than stack debt in university... I've absolutely no doubt what so ever that he'll become a millionaire!,0
37,Plus he was surrounded with friends who are well educated and investing. That really push him to be on top than the average teen.,0
38,"Â @404fulmikeÂ  Yeah absolutely. But I think the main thing is his parents taught him well and put an emphasis on work ethic and education while growing up, thus building a foundation. Sadly I can't say the same for many other families who continuously pass on generational poverty 1 after another. They struggle to break that cycle.",0
39,"Also, parent's money and attention. He didn't have to worry about coming up with the resources to make up any deficit. His parents got him covered, and good on them for doing so!",0
40,Nah. Not hard work. Not â€œhard work.â€ /,0
41,"I remember just after my layoff early 2020 admist COVID outbreak, I needed to stay afloat,hence researched for licence fiduciary advisors. Thankfully I came across someone of practical knowledge,and decades of experience.I liquidated 200k of 325 k from my 401K, it has yielded nearly 1M after subsequent investments.",1
42,"I'm currently looking for where to begin putting in some funds that will aid me after retirement. Saving up isn't giving anything in return.
It's no secret that the role of financial advisors can never be downplayed.
Who's your advisor if you have any?",1
43,"Female financial advisors are doing way better than the male ones now, The likes of Lauren Simmons, Kathy lien and the most successful of them all LUCY ROSE CARTER ğŸ”¥",1
44,"I have shuffled through a few experts in the past,but settled with LUCY ROSE CARTER.the strategy they use is recession-proof,more specifically profit-oriented.most likely you will find her basic info on the internet.",1
45,"LUCY ROSE CARTER is the CFP responsible for my portfolio success,the lady has a private client base you can confirm her yourself on the internet, regulation and all.",1
46,"I started out with LUCY ROSE CARTER,great advisor. I got very lucky to have found her especially after my marriage crisis & consider her a good friend now.",1
47,"How can I join in? I will be happy growing my money while giving a few of it away to charity giving back is a good as receiving.
I don't mind consulting a female financial advisors if she can be of help to me",1
48,"Having an investment adviser is the best way to go about the market right now especially for near retirees. I've been in touch with LUCY ROSE CARTER for a while now mostly because I lack the depth knowledge and mental fortitude to deal with these recurring market conditions. I netted over 70k$ during this dip, that made it clear there's more to the market that we average joes don't know",1
49,LUCY ROSE CARTER,1
50,"I wonder where she gets her analysis from though,I just read her resume ONLINE I'm quite impressed âœ…",1
51,Nah. Not most underrated thing here. Not â€œmost underrated thing here.â€ /,0
52,@jordanjohnson Okie,0
53,never too late to restart your life,0
54,"Yes! ğŸ‘
And donâ€™t getting in to ugly divorce in the future or better prepare with prenup;)",0
55,"I understand that tomorrow isn't promised to anyone, but investing today is hard for me now because I have no idea of how and where to invest in. I would be happy if you could advise me based on how you went about yours, as I am ready to go the passive income path.",1
56,"Even with the right technique and assets some investors would still make more than others, as an investor, you shouldâ€™ve known that by now, nothing beats experience and thatâ€™s final, personally I had to reach out to a stock expert for guidance which is how I was able to grow my account close to a million, withdraw my profit right before the correction and now Iâ€™m buying again",1
57,please who is the expert guiding you? i have lost so much as a beginner investing into stock without a proper guidiance of an expert.,1
58,"There are many you could potentially find online. I personally work with Kate Elizabeth Amdall  , and she's been spectacular. But there are also many others you could check out yourself.",1
59,I just checked her out and I have sent her an email. I hope she gets back to me soon.,1
60,"If the market has taught me anything, it's that it usually makes a comeback, but I can't seem to concentrate on the long term, especially because important things like my retirement and my reserve are having a disastrous impact on inflation. I need a solution and a data trajectory that I can trust as soon as it is practicable.",1
61,"Â @AnnieBeischelÂ  Currently, the best market strategy is to work with a credible investing coach. Since a while ago, I've been in touch with a coach, mostly because I lack the depth of understanding and mental toughness to deal with the ongoing market conditions. You lack the information necessary to succeed in a competitive market, not because you're doing anything wrong, but rather because of your lack of experience.",1
62,"Â @MollyLogan-Â   Due to the significant falls, I need advice on how to rebuild my portfolio and develop more successful tactics. Where can I find this coach?",1
63,"In fact, I'm not sure whether I'm allowed to mention this, but I'd advise looking up ""Stacy Lee Decker"" because she was a big deal in 2020. She oversees both my portfolio and serves as my mentor",1
64,"She has an impressive career and impressive qualifications, so I can understand why she is so busy. I thus quickly copied Staceyâ€™s full name and entered it into my browser.",1
65,"I canâ€™t focus on the long run when I should be retiring in 3yrs ,you see  Iâ€™ve got a good companies in my portfolio and a good amount invested, but my profits has been stalling,does it mean this unstable market doesnâ€™t provide any calculated risky opportunities to make profits?",1
66,There are a lot of strategies to make tongue wetting profits especially in a down market but such sophisticated trades can only be carried out by proper market experts.,1
67,"How can I reach out to this coach? Because Iâ€™m seeking for a more effective investment approach how good is this person at portfolio diversification, particularly with regards to digital assets?",1
68,She appears to be well-educated and well-read I ran a google search on her name and came across her website; Thank You for sharing.,1
69,"easy for you to say not to trade your college years. I also graduated 2.5 years early simply because I could not afford it, and as an international student, I also could not get any federal loans.",0
70,"$200 cash flow while gaining equity is good, actually.  much better than having his money stagnant in a savings account",0
71,Not.,0
72,"The 2019-2020 and 2020-2021 years probably werenâ€™t too much fun for many students, though.",0
73,"He move his life so fast. He need to learn how to spread things out throughout his lifespan or else he will hit a period of depression and boredom. I'm happy he made it that far at such a young age but he lost so much values of what life is. The more he grow up, the more he realize his mistake of going through different stages of life too fast and need to balance out work and life NOT Work hard now and life later.",0
74,"I realized that the secret to making a million is making better investment.  I bought my 1st home at 21 for 87k sold for 197k, 2nd home 170k and sold for 320k, 3rd 300k and sold for 589k and buyers paid all closing costs expenses etc Not making up to a million before retirement is unfulfilled retirement.!!",1
75,Opening this I thought he would be a snobby Googler begging about is income. But boy was I wrong. What a smart and responsible young man. At 22 I could have never lol! Good luck Ethan!,0
76,"This is the kind of stuff that motivates me to become the best I can be so my kids can have a great start, like how his parents did for him.",0
77,What a great guy! It would have been helpful to see how travel is factored into his budget since he mentioned that he spends a good amount on travel but it was excluded from the budget summary.,0
78,Iâ€™m also a Googler! I sit down googling stuffs all day!,0
79,What an outstanding young man â¤! I wish I had this discipline at his age.,0
80,Hold on here.  This kid graduated from Berkeley with a CS degree in 2 years.  He is not your normal person.  I graduated in 4 years and I had to do summer school and use my AP credits.  How did he do this?,0
81,"Im struggling to finish HS as a dropout as 22 years old whos also interested in software engineering and has been coding for 5 years, and similar to my friends hes also making a well deserved salary graduate salary

If only i could receese time and tell myself to not give up on school despite my circumstances, id be in the same position ğŸ˜¢",0
82,"For people, who tell others to avoid going to collage at all costs are giving others terrible advice. He is one example out of many, who are financially successful because they chose to go to college. All or nothing thinking is a terrible cognitive distortion that you want to reframe.",0
83,"It seems strange to study so hard and work at a top tech company only to retire at 35. You don't see Steve Jobs, Bill Gates, and Warren Buffet going into their professions only to want to leave in 10-15 years. Great guy, though it seems like he's spent his youth doing nothing but to accumulate a lot of wealth without having a true passion for any.",0
84,gosh cnbc you're such a big help to us all! THANKS!!!,0
85,Saving $60000 in 2 years and making a six figure salary does not add up to 95% saved. I am confused. lol,0
86,This guy is living well but I would give more credit to his parents for setting him well. Where is a 13 yo getting his capital from to invest? He also needs his parent's permission to set up an account to invest. No mention of him working till he got his bachelor's too. His parents also paid for his college (even two years is a lot). His financial strategy initially was pretty risky which speaks volumes about his family support in case anything fails. Props to him for realizing that stable long-term investments are better.,0
87,This guy is outstanding. I hope he also prioritizes his health and works on healthy eating & regular exercise to maximize his life expectancy and overall happiness. Those are things young people donâ€™t always think about.,0
88,Love this for him ! Super impressive â¤,0
89,"If yâ€™all are teenagers thisbis the kind of path you want to take if youâ€™re going to college. Learn investing early, commit to a high paying skill, choose a cost effective college if youâ€™re going, do it fast and get to work. Aim to save 50% of your income. It will be difficult if youâ€™re living above you means but even if you canâ€™t hit 50% aiming for it will push you to do your best. All the best young ones.

And $5 million should be everyoneâ€™s bare minimum goal. You can actually live or $250-350k with that kind of nest egg.",0
90,"I agree with the comments. This is far from an average person. UC Berkeley computer science degree in 2 years. Masters in 1 year? That's impossible for 99.99% of us. Even making $196K a year, he does have a lot of fixed expenses, mainly that huge mortgage.  Anyway, it's whatever works for him.",0
91,Great story Ethan. Keep crushing it man!,0
92,This is one of the best episodes Iâ€™ve seen in a long time ! â€¦very nice,0
93,Im surprised i didn't see more of this comment. i'm sure he'll grow to resent his decisions later in life and change his goal of retiring by 35,0
94,May I ask which investments are good? I've been looking at a few different ones but want others' opinions as well,1
95,"I started out with a financial advisor called ""Rochelle Dungca Schreiber"". Her honest approach gives me complete ownership and control of my positions, and her rates are incredibly affordable given my ROI. However, do your due diligence before contacting a financial advisor..",1
96,"Rochelle appears to be very knowledgeable. I found her webpage and read through her resume, educational background, and qualifications, which were all very impressive. She is a fiduciary, which means she will act in my best interests. So I scheduled a call with her.",1
97,"""It's quite a surprise that you're acquainted with her as well. I've had the privilege of gaining significant profits while learning and investing under her guidance for the past few months. ROCHELLE DUNGCA-SCHREIBER truly stands out as one of the most exceptional mentors and traders I've had the pleasure of collaborating with in recent years. Her expertise in navigating various market situations is truly remarkable.""",1
98,Lmao,0
99,ğŸ˜‚ğŸ˜‚,0
100,Same ğŸ¤£,0
101,I'm a YT'er...I waste hours on You Tube looking at mindless stuff!,0
102,I Bing,0
103,"Took nothing but AP classes in high school, did summer school, and maxed out classes each semester and had no social life.",0
104,Sometimes there are programs within high schools in which you can graduate with both a high school degree and a associates at the same time. He could have graduated taking all of the general education requirements and when applying for U.C. Berkley  he would have junior standing. He could also take summer classes or ap courses as the other commenter mentioned.,0
105,He represents the 1% that are able to achieve at this level. It's unrealistic for the vast majority of the population. Some people are born special and with a little discipline and they become extra special. It's no competition. We just have to try our best.,0
106,Bro lost 80k in crypto trading??,0
107,Losing 80000 in crypto and not having fun in your youth sooner or later will cost you...,0
108,"Â @flippingnickelsforalivingÂ I'd say he's more like 0.5% if not 0.01%, considering his age.. very impressive!",0
109,"Â @vanessaandreatta9098Â  what would cost him for not having fun in your youth? Can't think of any. A friendship? if you past 30 and have kids, most ppl no longer have friends anyway.",0
110,He might've been a transfer student,0
111,"Â @flippingnickelsforalivingÂ  itâ€™s still somethingâ€™s ppl can take away from this and apply, while not aiming to do everything the way he did it. We have to an opportunity to be better at trying our best everyday.",0
112,it's doable.,0
113,"In the years that there wasnâ€™t much else to do, though.",0
114,Well he'll have all the financial freedom to find one once he's done.,0
115,At 13 he probably used his Lunar New Year money to invest. I usually got a couple hundred every year as a pre-teen. Asian kids learn budgeting early!,0
116,Easy to eat healthy at Google,0
117,"Eating healthy is hard with all the processed crap available even at Google, so that takes a little effort to research.  He can always subscribe to have keto meals sent to his home. He's a doughboy with career and money and  needs to hit the gym.",0
118,"OMG I love this, I to am 22 years old and live in OC. he has the same exact investing mindset as me, I started investing also at 13. All my friends thought it was boring until now.",0
119,"Gotta say, what an astoundingly well adjusted young man.",0
120,"This guy is killing it, happy to see Gen Z nail money management. It applies to all generations tbh",0
121,how did he do a BA in comp sci in only two years? he doesn't mention attending community college & then transferring into a 4-year institution so I'm just curious. I wonder if he also took summer courses during that time.,0
122,Great work Ethan!,0
123,"Unless Ethan doesn't pay property tax or insurance or any maintenance costs or save for vacancy and Capex, then he's actually losing money every month on this rental property in Florida.",0
124,"Although I like his spirit and determination, there were many red flags throughout this video and his comments on spending/income don't add up. And it feels like we're missing information. His current salary does not indicate one new investment property every 2 years, especially if he only makes $194 in profit each month. When he said he wanted to retire at 35 with $5 million, but also wanted to start a family soon I just laughed....this guy is a big dreamer. A family, even one kid, is very expensive.",0
125,"Holy crap this guy was a study demon - literally cutting his schooling time in half, insane",0
126,I wish I had my life together like this ğŸ˜­,0
127,"Really nice guy---but is NOT the norm--he's that rare superstar @ 22!! Good for him.--he's truly superb in terms of his discipline, mindset determination, and maximizing all his skill sets!",0
128,Staying at home (if thatâ€™s an option) is a great way to get ahead. I did the same in order to purchase a home and jump start my investments.,0
129,I'm skeptical about being able to complete a computer science degree in 2 years as portrayed. He had to of either taken college equivalent courses in high school or went to community college and transferred in.,0
130,7:48 such a blessing to have great grandma still around,0
131,I realized that the secret to making a million is making better investment.,0
132,"Well done, and heâ€™s definitely taking advantage of Googleâ€™s cafeteria. Heâ€™s on his way to be FI and do whatever he wants.",0
133,This guy is a superstar,0
134,I tried investing at 13 too but the bank just gave me a cardboard piggy bank.,0
135,Everytime I watch regular people reaching their potieianl and dreams and makes me feel confident on doint it.,0
136,"his house looks like the meme of a software engineer in silicon valley.  nearly no furniture or decor, and a mattress on the ground.  think we are all interested in how he graduated in only 2 years, yet he explained zero.  he just stacked a ton of classes every semester and went to summer school?  seems really hard and stressful, but well done.",0
137,Can we please have some normal Gen Z's on here??? Someone in college hustling and budgeting super hard is a lot more interesting than people with so much money they can buy whatever they want without thinking about it.,0
138,"I am assuming he took a lot of AP classes in high school. so he doesn't have to do 1st year, go straigh to 2nd courses, then didn't take summer off.Using the summer semesters to finish more classes. therefore he can graduate in 2 years.. bascially, he never had a break for school for 2 years, no summer, no social life. just school, classes. I know ppl did that..",0
139,"I'm sure that's what he did... Probably took APs and community college courses during the end of high school, and berkeley counts a lot of those courses. I have another friend who did the same thing. 

I don't think there's any other way to really graduate in 2 years because there's a max number of credits you can take.",0
140,Seems like he might be over leveraging himself a bit...I love his enthusiasm and spirit,0
141,Which explains why he had to use debt to pay for the air conditioning unit.,0
142,"Property tax and insurance will be part of the mortgage payment (the escrow portion). But vacancy, maintenance, hoa, property mgmt, are not included).",0
143,Yes his housing payment is massive. Only $442 going to savings and investments seems low.,0
144,"Warning, a good daycare in OC is $2,000/mo per kid minimum haha. I have 2, get ready to add $4,000/mo to that budget good Ol Boy!  Welcome to the Thunderdome!",0
145,"Agreed, heâ€™s dreaming",0
146,"Iâ€™m sure thereâ€™s some sacrifices that need to be done (ie not eating out a lot, not a lot of social gathering to spend money).

With his income level, 20% down payment for a home is FL is smaller compared to 20% down payment in California. Makes sense why he chose the investment property first",0
147,"Yes I noticed this as well. The pie chart said he is only saving and investing $442 a month. But then he said he invests almost $2,800 a month in retirement and non retirement account.",0
148,likewise !,0
149,So do it.,0
150,Crazy. All these strong and independent boss babes in the comments and on TikTok that can't stop crying about it.,0
151,Transfer credits are common. Berkeley also has spring and summer classes.,0
152,"Probably the CC classes in HS, it did say he graduated from Berkeley at 19.",0
153,it's doable.,0
154,"ROCHELLE DUNGCA-SCHREIBER, That's whom i work with",1
155,"What I think everyone need is a Financial Adviser, who can help you get in and out of any investment at any time and you'd sure be in Profit",1
156,No she's not!... Youtube is a public place; i can't drop her information here but You can just put her name on google and you will be directed to her website and drop her your message.,1
157,"I'm surprised you know her too. I've been making a lot of profits learning and investing with her for a few months now. ROCHELLE DUNGCA-SCHREIBER is one of the best mentor/trader I have ever worked with in the past few years, she knows how best to deal with whatever market situation....",1
158,"Hes normal? Just because hes smart and got a good job working for google doesnt make him an anomaly LOL. They have plenty of videos on here of ppl you're asking for..

Just because he had supportive parents, went to berkely(on his own merits), saved his money, and is successful at 22 doesnt mean we should not celebrate him or show him off.",0
159,Thatâ€™s your opinion,0
160,What is a normal gen z? Poor and underachieving? Please enlighten us,0
161,He canâ€™t buy whatever he wants. You should watch the video instead of just looking at the number in the thumbnail,0
162,"Stop being Insecure Claire, be able to celebrate others.",0
163,I wish I could celebrate the guy and all but cmon you have your parents help at 13. Dude at 18 I was already paying rent and bills you think my parents set me up for life. Sometimes you donâ€™t want to be jealous or envious of others but itâ€™s very difficult to do so when other families are doing what you wish your parents should have been doing,0
164,He did hustle. It's no small feat to graduate in 2 years. Study hard in a technical field and you can end up like him,0
165,"Â @edercortes1960Â youâ€™re playing the wrong game w this mentality my guy. Youâ€™re basing success by comparing yourself to others. You have to define success for yourself, so sure you canâ€™t change your past but you DO have control over your life NOW, so how will you succeed? This guy is no different than you and I, this is just his story. And he saw success as making investments, whereas other people see success w material gain, higher status, healthy families, healthy weight etc. thereâ€™s no need to feel envy, we all are in different chapters, in different books. We canâ€™t all have the same story",0
166,Aww whatâ€™s wrong Clare bear?ğŸ˜¢Does Mr. Nguonly make you feel bad about your lack of accomplishments in life?ğŸ˜¢ğŸ¤¡,0
167,Â @jw6451Â right??ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚,0
168,This is normal at least amongst my friendship group,0
169,"Â @edercortes1960Â  the thing is, even though your parents didnâ€™t set you up for success at a young age for whatever reason thatâ€™s what they chose to do, their actions led to them to not being able or care to to think proactively about their children, but if you think about it in a more accountable way you could just use your less than ideal upbringing from your parents as fuel to make sure your kids get the things you didnâ€™t get growing up. Itâ€™s a gift to be able to make a difference in someoneâ€™s life",0
170,â Â @foushooÂ  ğŸ™ŒğŸ¼ nicely said!,0
171,Imagine aspiring to look at people struggling instead of being motivated by people your ageğŸ˜‚,0
172,ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ reading that hurt. So much salt,0
173,"Great episode, great guy  ğŸ”¥",0
174,"If I were him, I would keep my job at Google!!",0
175,"A friend of mine makes the exact sum. But that dude lives between Indonesia and Spain throughout the year. Now that dudeâ€™s life is awesome. He mightâ€™ve made over 200k last year as well, Iâ€™m not sure though.",0
176,"I live here in O.C also. This is not an usual story, I'm also Asian. Our family structure is just that, structured. Some are critical, ""helicopter"" parents etc....but in the super competitive and SUPER expensive S. CA it's almost a necessity. As crazy as it sounds, $194K @ year does NOT make you rich in O.C, merely comfortable. I'm older than him and have been making 6 figures for years but am just middle-of-the-road here in O.C. It's worth it though, I think.",0
177,Wow what an organized sorted young man. The sky and beyond is waiting for him!,0
178,Great young manâ€¦ he just so much of an outlier that itâ€™s hard for me to connect with him at 25.,0
179,"His math makes no sense..graduated two years early so heâ€™s been working for 2 years. Heâ€™s made like $400k max pre tax and somehow he has two houses, 115k in investments, and has lost $80k in crypto. He either comes from a lot of money and his parents have helped him out significantly or heâ€™s lying",0
180,This kid is Cambodian. Props to him for defying the odds.,0
181,Really smart kid!,0
182,Everyones Journey is different. The key of everything is having a plan.,0
183,"Most people venture into crypto to be wealthy,meanwhile I just want to be debt free.",1
184,"""Googler"" is misleading; sounds like a secret shopper lol

He's a SOFTWARE ENGINEER.

He's earned that.",0
185,"After taxes if he is investing $22,500 in 401k, his take home pay is only $9300. If he owns two homes, he is playing a little risky. Good luck!",0
186,Proud of you!!,0
187,"Love this! Just one thing - get into the credit card hacking game for the travel, it's a game changer!",0
188,I wish I could have had him as my financial advisor ğŸ˜…,0
189,Google needs a health wellness class.,0
190,Wow! Very impressive young man.,0
191,I am asian and similar. I invested from age 10. I was a software engineer and before I turned 30 I become a decamillionaire. I also live in California.,0
192,Brilliant young man!,0
193,"He didn't say he's resigning! Besides, in the tech industry, pretty much no one stays at one company for more than a few years.",0
194,Â @prakash_77Â  I've been at the same company almost 20 years!!ğŸ¤”,0
195,"Nah it adds up. 2 houses he's paying mortgage on, doesn't say how much down. Stock market has done well. With maxing out 401k(+ matching)/ira, 115k is very achievable. $80k crypto ""loss"" isn't specifying realized loss of $80k. Dude's smart and makes good income. Didn't need parents with good finances to achieve any of that.",0
196,"He definitely benefitted from financial support to achieve this. That doesn't take away from his accomplishments, he's doing insanely well, but there's no way he'd be in the exact position he's in today without the support he received. It's a whole different financial situation when you have to pay for food, rent, tuition, car payment instead of getting to save nearly 100% of your income.",0
197,"Invest in one of these!
Real estate 
Crypto 
Stock 
Gold",1
198,"Investing in crypto is the most profitable investment due to its current rise, huge profits and future benefits.",1
199,When you invest in crypto you are buying days you don't need to work,1
